normalized_item,counterparty,doc_type,doc_date,unit_price,quantity,uom,source_file,doc_number
108/36 POY,RELIANCE INDUSTRIES LTD,PURCHASE_REQUISITION,2025-09-16,98.78,20000.0,KGS,doc_142.pdf,POY/00193/25-26
126/48 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2025-09-16,96.55,20000.0,KGS,doc_129.pdf,DPY/00193/25-26
126/48 POY,RELIANCE INDUSTRIES LTD,PURCHASE_REQUISITION,2025-09-16,96.55,20000.0,KGS,doc_142.pdf,POY/00193/25-26
126/48 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-05,92.55,30000.0,KGS,doc_137.pdf,DPY/00338/25-26
126/48 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-17,93.55,36000.0,KGS,doc_160.pdf,DPY/00354/25-26
160/48 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2025-09-16,95.55,12000.0,KGS,doc_129.pdf,DPY/00193/25-26
160/48 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_REQUISITION,2025-09-16,95.55,12000.0,KGS,doc_142.pdf,POY/00193/25-26
160/48 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-17,92.55,16000.0,KGS,doc_160.pdf,DPY/00354/25-26
160/72 BRT POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2025-09-16,184.0,192.0,KGS,doc_129.pdf,DPY/00193/25-26
160/72 BRT POY,RELIANCE INDUSTRIES LTD,PURCHASE_REQUISITION,2025-09-16,97.3,8000.0,KGS,doc_142.pdf,POY/00193/25-26
160/72 BRT POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-17,94.3,16000.0,KGS,doc_160.pdf,DPY/00354/25-26
165/34 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2025-09-16,95.55,8000.0,KGS,doc_129.pdf,DPY/00193/25-26
165/34 POY,RELIANCE INDUSTRIES LTD,PURCHASE_REQUISITION,2025-09-16,95.55,8000.0,KGS,doc_142.pdf,POY/00193/25-26
230/48 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2025-09-16,94.05,4000.0,KGS,doc_129.pdf,DPY/00193/25-26
230/48 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_REQUISITION,2025-09-16,94.05,4000.0,KGS,doc_142.pdf,POY/00193/25-26
250/48 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2025-09-16,93.55,8000.0,KGS,doc_129.pdf,DPY/00193/25-26
250/48 POY,RELIANCE INDUSTRIES LTD,PURCHASE_REQUISITION,2025-09-16,93.55,8000.0,KGS,doc_142.pdf,POY/00193/25-26
250/48 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-17,89.55,16000.0,KGS,doc_160.pdf,DPY/00354/25-26
80/36 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2025-09-16,102.55,4000.0,KGS,doc_129.pdf,DPY/00193/25-26
80/36 POY,RELIANCE INDUSTRIES LTD,PURCHASE_REQUISITION,2025-09-16,102.55,4000.0,KGS,doc_142.pdf,POY/00193/25-26
250/144 FD POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-05,104.78,6000.0,KGS,doc_137.pdf,DPY/00338/25-26
300/96 SD LIM RECYCLED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-01,248.5,100.74,KGS,doc_148.pdf,P29101
300/96 SD LIM RECYCLED,PREMCO GLOBAL LIMITED,TAX_INVOICE,2026-01-04,248.5,98.59,KGS,doc_147.pdf,P29123
250/36 POY,RELIANCE POLYESTER LIMITED,PURCHASE_ORDER,2026-01-20,105.55,20000.0,KGS,doc_149.pdf,DPY/00358/25-26
110/36 SD POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-20,95.75,12000.0,KGS,doc_150.pdf,DPY/00359/25-26
123/72 FD POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-20,102.05,12000.0,KGS,doc_150.pdf,DPY/00359/25-26
340/48 POY,RELIANCE INDUSTRIES LTD,PURCHASE_ORDER,2026-01-17,89.05,8000.0,KGS,doc_160.pdf,DPY/00354/25-26
